id,name,street,zip_code,city
Postfiliale staffelsteinstr. 101326dresden,,staffelsteinstr. 1,01326,dresden
Postfiliale 534ullersdorfer platz 1b01324dresden,chono post,ullersdorfer platz 1b,01324,dresden
Packstation 181pirnaer landstr. 18501257dresden,lidl markt,pirnaer landstr. 185,01257,dresden
Postfiliale 572kreischaer str. 101728bannewitz,simones reisebüro,kreischaer str. 1,01728,bannewitz
Packstation 130pirnaer landstr. 19601257dresden,aldi markt,pirnaer landstr. 196,01257,dresden
Paketbox pirnaer landstr. 19601257dresden,,pirnaer landstr. 196,01257,dresden
DHL Paketshop 452straße des 17. juni 3201257dresden,rewe markt anja wirker ohg,straße des 17. juni 32,01257,dresden
Postfiliale 526niedersedlitzer platz 601259dresden,getränke märkisch gmbh,niedersedlitzer platz 6,01259,dresden
DHL Paketshop 716pirnaer landstr. 23001259dresden,rewe anja wirker ohg,pirnaer landstr. 230,01259,dresden
Postfiliale 525bahnhofstr. 5601259dresden,drogerie/reformhaus,bahnhofstr. 56,01259,dresden
DHL Paketshop 467meußlitzer str. 6801259dresden,server-team,meußlitzer str. 68,01259,dresden
Packstation 220königsbrücker landstr. 26501108dresden,total tankstelle,königsbrücker landstr. 265,01108,dresden
Postfiliale 505hohenbusch-markt 101108dresden,scheller`s lotto & tabak box,hohenbusch-markt 1,01108,dresden
Postfiliale 567hainsberger str. 4a01705freital,raumausstatter jörg müller,hainsberger str. 4a,01705,freital
Postfiliale 435meißner str. 47501445radebeul,rewe björn keyser ohg,meißner str. 475,01445,radebeul
Packstation 177meißner str. 47501445radebeul,rewe markt,meißner str. 475,01445,radebeul
DHL Paketshop 419pillnitzer landstr. 313b01326dresden,fms handels gmbh,pillnitzer landstr. 313b,01326,dresden
DHL Paketshop 690an der spinnerei 801705freital,hartmann premium gmbh,an der spinnerei 8,01705,freital
DHL Paketshop 444krippener str. 1501259dresden,bootszentrum dresden ohg,krippener str. 15,01259,dresden
DHL Paketshop 450an der schule 101259dresden,feinbäckerei thomas,an der schule 1,01259,dresden
Postfiliale 649oelsaer str. 901734rabenau,getränkehandel - rabentränke,oelsaer str. 9,01734,rabenau
DHL Paketshop 594an der walze 1201640coswig,nabo-kork dresden gbr,an der walze 12,01640,coswig
Postfiliale 676dresdner str. 301465langebrück,lotto-tabak-presse hofeditz,dresdner str. 3,01465,langebrück
DHL Paketshop 708am landgut 101809dohna,markt- & eventmanagement tintner,am landgut 1,01809,dohna
DHL Paketshop 714hauptstr. 11701734rabenau,nah & frisch,hauptstr. 117,01734,rabenau
DHL Paketshop 533zum hutbergblick 1601328dresden,pfennigpfeiffer,zum hutbergblick 16,01328,dresden
Packstation 211melanchthonstr. 1501640coswig,netto marken-discount,melanchthonstr. 15,01640,coswig
Postfiliale 545schloßallee 5b01468moritzburg,lotto-tabak-presse hofeditz,schloßallee 5b,01468,moritzburg
Postfiliale 550an der prießnitzaue 1-301328dresden,cigo,an der prießnitzaue 1-3,01328,dresden
Postfiliale 560wettinplatz 501640coswig,lts presseshop,wettinplatz 5,01640,coswig
DHL Paketshop 481neucoswiger str. 101640coswig,der getränkemarkt hohensteinstraß,neucoswiger str. 1,01640,coswig
Postfiliale 573zur post 101731kreischa,drogerie,zur post 1,01731,kreischa
Postfiliale 574roßmäßlerstr. 3301737tharandt,getränke amlang,roßmäßlerstr. 33,01737,tharandt
Packstation 213freiberger str. 5601723wilsdruff,lidl markt,freiberger str. 56,01723,wilsdruff
Packstation 187siegfried-rädel-str. 301809heidenau,aldi markt,siegfried-rädel-str. 3,01809,heidenau
Postfiliale 421salzstr. 16a01640coswig,presseshop,salzstr. 16a,01640,coswig
Postfiliale 569dresdner str. 901723wilsdruff,drogerie - parfümerie lehmann,dresdner str. 9,01723,wilsdruff
Packstation 127salzstr. 901640coswig,aldi markt,salzstr. 9,01640,coswig
Postfiliale 866hauptstr. 301809heidenau,lts presseshops,hauptstr. 3,01809,heidenau
Packstation 164bahnhofstr. 1401809heidenau,"rewe markt, zugang ringstr.",bahnhofstr. 14,01809,heidenau
DHL Paketshop 464bahnhofstr. 1401809heidenau,rewe veronika stüwe ohg,bahnhofstr. 14,01809,heidenau
Postfiliale 588ernst-thälmann-str. 2a01809heidenau,andreas urbanek,ernst-thälmann-str. 2a,01809,heidenau
DHL Paketshop 681meißner str. 30c01723wilsdruff,pfennigpfeiffer,meißner str. 30c,01723,wilsdruff
Packstation 124meißner str. 30b01723wilsdruff,aldi,meißner str. 30b,01723,wilsdruff
Postfiliale 675meißner str. 30d01723wilsdruff,tabak-börse,meißner str. 30d,01723,wilsdruff
Postfiliale 589müglitztalstr. 9701809dohna,getränkewelt,müglitztalstr. 97,01809,dohna
Packstation 170gabelsbergerstr. 801809heidenau,,gabelsbergerstr. 8,01809,heidenau
Packstation 143ernst-schneller-str. 201809heidenau,,ernst-schneller-str. 2,01809,heidenau
Packstation 173dresdener str. 8401454radeberg,star tankstelle,dresdener str. 84,01454,radeberg
DHL Paketshop 746weißeritztal 101744dippoldiswalde,paperartist.de-atelier im grünen,weißeritztal 1,01744,dippoldiswalde
Postfiliale 483schillerstr. 2501809heidenau,"einzelh. blumen,pflanzen/änderungs.",schillerstr. 25,01809,heidenau
Postfiliale 584richard-wagner-str. 1701796pirna,fachdrogerie müller,richard-wagner-str. 17,01796,pirna
Postfiliale 542am goldbach 201454radeberg,ulbricht's getränkemarkt,am goldbach 2,01454,radeberg
Postfiliale 541schillerstr. 95b01454radeberg,kaufhalle radeberg,schillerstr. 95b,01454,radeberg
DHL Paketshop 702heidestr. 201454radeberg,lotto-tabak-presse hofeditz gmbh,heidestr. 2,01454,radeberg
